Year,League,Date,Time,Home,Away,G_home,G_away,Home_W,Draw,Away_W,Venue,Attendance
2001,Liga,2001-04-14,,Valencia,Alavés,1,2,0,0,1,Mestalla,
2001,Liga,2001-04-14,,La Coruña,Osasuna,2,1,1,0,0,Nuevo Riazor,
2001,Liga,2001-04-15,,Athletic Club,Espanyol,0,1,0,0,1,San Mamés,
2001,Liga,2001-04-15,,Valladolid,Oviedo,1,0,1,0,0,Nuevo Zorrilla,
2001,Liga,2001-04-15,,Numancia,Real Sociedad,3,3,0,1,0,Los Pajaritos,
2001,Liga,2001-04-15,,Racing Sant,Celta Vigo,3,0,1,0,0,Campos de Sport del Sardinero,
2001,Liga,2001-04-15,,Mallorca,Las Palmas,2,1,1,0,0,Son Moix,
2001,Liga,2001-04-15,,Málaga,Rayo Vallecano,1,1,0,1,0,La Rosaleda,
2001,Liga,2001-04-21,,Celta Vigo,La Coruña,2,1,1,0,0,Estadio de Balaídos,
2001,Liga,2001-04-22,,Las Palmas,Numancia,1,1,0,1,0,Estadio Insular,
2001,Liga,2001-04-22,,Alavés,Málaga,1,2,0,0,1,Mendizorroza,
2001,Liga,2001-04-22,,Rayo Vallecano,Athletic Club,1,2,0,0,1,Teresa Rivero,
2001,Liga,2001-04-22,,Oviedo,Valencia,0,0,0,1,0,Carlos Tartiere,
2001,Liga,2001-04-22,,Osasuna,Barcelona,3,1,1,0,0,El Sadar,
2001,Liga,2001-04-22,,Espanyol,Racing Sant,3,0,1,0,0,Olímpic Lluís Companys,
2001,Liga,2001-04-22,,Zaragoza,Real Madrid,2,3,0,0,1,La Romareda,
2001,Liga,2001-04-22,,Real Sociedad,Valladolid,3,1,1,0,0,Anoeta,
2001,Liga,2001-04-22,,Villarreal,Mallorca,2,2,0,1,0,El Madrigal,
2001,Liga,2001-04-28,,Real Madrid,Osasuna,1,1,0,1,0,Santiago Bernabéu,
2001,Liga,2001-04-28,,Valencia,Valladolid,1,0,1,0,0,Mestalla,
2001,Liga,2001-04-29,,Mallorca,Zaragoza,2,1,1,0,0,Son Moix,
2001,Liga,2001-04-29,,Las Palmas,Real Sociedad,2,1,1,0,0,Estadio Insular,
2001,Liga,2001-04-29,,Racing Sant,Rayo Vallecano,1,1,0,1,0,Campos de Sport del Sardinero,
2001,Liga,2001-04-29,,Barcelona,Celta Vigo,1,1,0,1,0,Nou Camp,
2001,Liga,2001-04-29,,La Coruña,Espanyol,1,0,1,0,0,Nuevo Riazor,
2001,Liga,2001-04-29,,Numancia,Villarreal,1,3,0,0,1,Los Pajaritos,
2001,Liga,2001-04-29,,Málaga,Oviedo,2,2,0,1,0,La Rosaleda,
2001,Liga,2001-04-29,,Athletic Club,Alavés,2,0,1,0,0,San Mamés,
2001,Liga,2001-05-05,,Espanyol,Barcelona,0,0,0,1,0,Olímpic Lluís Companys,
2001,Liga,2001-05-05,,Celta Vigo,Real Madrid,3,0,1,0,0,Estadio de Balaídos,
2001,Liga,2001-05-05,,Real Sociedad,Valencia,1,2,0,0,1,Anoeta,
2001,Liga,2001-05-06,,Villarreal,Las Palmas,2,1,1,0,0,El Madrigal,
2001,Liga,2001-05-06,,Oviedo,Athletic Club,5,0,1,0,0,Carlos Tartiere,
2001,Liga,2001-05-06,,Osasuna,Mallorca,1,0,1,0,0,El Sadar,
2001,Liga,2001-05-06,,Alavés,Racing Sant,5,1,1,0,0,Mendizorroza,
2001,Liga,2001-05-06,,Zaragoza,Numancia,3,1,1,0,0,La Romareda,
2001,Liga,2001-05-06,,Valladolid,Málaga,0,0,0,1,0,Nuevo Zorrilla,
2001,Liga,2001-05-06,,Rayo Vallecano,La Coruña,1,1,0,1,0,Teresa Rivero,
2001,Liga,2001-05-11,,La Coruña,Alavés,2,1,1,0,0,Nuevo Riazor,
2001,Liga,2001-05-12,,Villarreal,Real Sociedad,1,3,0,0,1,El Madrigal,
2001,Liga,2001-05-13,,Barcelona,Rayo Vallecano,5,1,1,0,0,Nou Camp,
2001,Liga,2001-05-13,,Real Madrid,Espanyol,2,2,0,1,0,Santiago Bernabéu,
2001,Liga,2001-05-13,,Málaga,Valencia,3,0,1,0,0,La Rosaleda,
2001,Liga,2001-05-13,,Athletic Club,Valladolid,1,1,0,1,0,San Mamés,
2001,Liga,2001-05-13,,Las Palmas,Zaragoza,2,1,1,0,0,Estadio Insular,
2001,Liga,2001-05-13,,Racing Sant,Oviedo,2,0,1,0,0,Campos de Sport del Sardinero,
2001,Liga,2001-05-13,,Mallorca,Celta Vigo,2,0,1,0,0,Son Moix,
2001,Liga,2001-05-13,,Numancia,Osasuna,1,0,1,0,0,Los Pajaritos,
2001,Liga,2001-05-18,,Valencia,Athletic Club,1,0,1,0,0,Mestalla,
2001,Liga,2001-05-19,,Alavés,Barcelona,0,1,0,0,1,Mendizorroza,
2001,Liga,2001-05-20,,Osasuna,Las Palmas,3,3,0,1,0,El Sadar,
2001,Liga,2001-05-20,,Real Sociedad,Málaga,4,0,1,0,0,Anoeta,
2001,Liga,2001-05-20,,Celta Vigo,Numancia,1,1,0,1,0,Estadio de Balaídos,
2001,Liga,2001-05-20,,Valladolid,Racing Sant,1,1,0,1,0,Nuevo Zorrilla,
2001,Liga,2001-05-20,,Zaragoza,Villarreal,0,0,0,1,0,La Romareda,
2001,Liga,2001-05-20,,Espanyol,Mallorca,0,1,0,0,1,Olímpic Lluís Companys,
2001,Liga,2001-05-20,,Oviedo,La Coruña,2,3,0,0,1,Carlos Tartiere,
2001,Liga,2001-05-20,,Rayo Vallecano,Real Madrid,0,1,0,0,1,Teresa Rivero,
2001,Liga,2001-05-26,,Las Palmas,Celta Vigo,0,1,0,0,1,Estadio Insular,
2001,Liga,2001-05-26,,Real Madrid,Alavés,5,0,1,0,0,Santiago Bernabéu,
2001,Liga,2001-05-27,,La Coruña,Valladolid,1,2,0,0,1,Nuevo Riazor,
2001,Liga,2001-05-27,,Zaragoza,Real Sociedad,1,1,0,1,0,La Romareda,
2001,Liga,2001-05-27,,Villarreal,Osasuna,2,0,1,0,0,El Madrigal,
2001,Liga,2001-05-27,,Racing Sant,Valencia,1,1,0,1,0,Campos de Sport del Sardinero,
2001,Liga,2001-05-27,,Numancia,Espanyol,2,1,1,0,0,Los Pajaritos,
2001,Liga,2001-05-27,,Mallorca,Rayo Vallecano,4,0,1,0,0,Son Moix,
2001,Liga,2001-05-27,,Barcelona,Oviedo,0,1,0,0,1,Nou Camp,
2001,Liga,2001-05-27,,Athletic Club,Málaga,1,3,0,0,1,San Mamés,
2001,Liga,2001-06-10,,Rayo Vallecano,Numancia,2,1,1,0,0,Teresa Rivero,
2001,Liga,2001-06-10,,Valencia,La Coruña,0,1,0,0,1,Mestalla,
2001,Liga,2001-06-10,,Athletic Club,Real Sociedad,1,3,0,0,1,San Mamés,
2001,Liga,2001-06-10,,Celta Vigo,Villarreal,1,0,1,0,0,Estadio de Balaídos,
2001,Liga,2001-06-10,,Málaga,Racing Sant,2,1,1,0,0,La Rosaleda,
2001,Liga,2001-06-10,,Espanyol,Las Palmas,3,2,1,0,0,Olímpic Lluís Companys,
2001,Liga,2001-06-10,,Oviedo,Real Madrid,1,1,0,1,0,Carlos Tartiere,
2001,Liga,2001-06-10,,Valladolid,Barcelona,2,2,0,1,0,Nuevo Zorrilla,
2001,Liga,2001-06-10,,Alavés,Mallorca,2,4,0,0,1,Mendizorroza,
2001,Liga,2001-06-10,,Osasuna,Zaragoza,1,0,1,0,0,El Sadar,
2001,Liga,2001-06-16,,Numancia,Alavés,2,1,1,0,0,Los Pajaritos,
2001,Liga,2001-06-16,,Las Palmas,Rayo Vallecano,1,0,1,0,0,Estadio Insular,
2001,Liga,2001-06-16,,Racing Sant,Athletic Club,3,0,1,0,0,Campos de Sport del Sardinero,
2001,Liga,2001-06-16,,Villarreal,Espanyol,4,0,1,0,0,El Madrigal,
2001,Liga,2001-06-17,,Mallorca,Oviedo,4,2,1,0,0,Son Moix,
2001,Liga,2001-06-17,,Zaragoza,Celta Vigo,1,1,0,1,0,La Romareda,
2001,Liga,2001-06-17,,Real Sociedad,Osasuna,0,1,0,0,1,Anoeta,
2001,Liga,2001-06-17,,La Coruña,Málaga,4,0,1,0,0,Nuevo Riazor,
2001,Liga,2001-06-17,,Real Madrid,Valladolid,2,1,1,0,0,Santiago Bernabéu,
2001,Liga,2001-06-17,,Barcelona,Valencia,3,2,1,0,0,Nou Camp,
2002,Liga,2001-08-25,,Valencia,Real Madrid,1,0,1,0,0,Mestalla,
2002,Liga,2001-08-26,,Mallorca,Las Palmas,0,3,0,0,1,Son Moix,
2002,Liga,2001-08-26,,Osasuna,Celta Vigo,0,3,0,0,1,El Sadar,
2002,Liga,2001-08-26,,Tenerife,Alavés,0,2,0,0,1,Heliodoro Rodríguez,
2002,Liga,2001-08-26,,Real Sociedad,Athletic Club,1,3,0,0,1,Anoeta,
2002,Liga,2001-08-26,,Sevilla,Barcelona,1,2,0,0,1,Ramón Sánchez Pizjuán,
2002,Liga,2001-08-26,,La Coruña,Valladolid,4,0,1,0,0,Nuevo Riazor,
2002,Liga,2001-08-26,,Rayo Vallecano,Villarreal,1,2,0,0,1,Teresa Rivero,
2002,Liga,2001-08-26,,Espanyol,Zaragoza,2,1,1,0,0,Olímpic Lluís Companys,
2002,Liga,2001-08-26,,Málaga,Betis,3,2,1,0,0,La Rosaleda,
2002,Liga,2001-09-08,,Villarreal,Osasuna,3,0,1,0,0,El Madrigal,
2002,Liga,2001-09-08,,Real Madrid,Málaga,1,1,0,1,0,Santiago Bernabéu,
2002,Liga,2001-09-08,,Athletic Club,Mallorca,0,1,0,0,1,San Mamés,
2002,Liga,2001-09-08,,Las Palmas,La Coruña,0,1,0,0,1,Estadio Insular,
2002,Liga,2001-09-09,,Valladolid,Valencia,1,1,0,1,0,Nuevo Zorrilla,
2002,Liga,2001-09-09,,Barcelona,Rayo Vallecano,1,1,0,1,0,Nou Camp,
2002,Liga,2001-09-09,,Alavés,Real Sociedad,2,0,1,0,0,Mendizorroza,
2002,Liga,2001-09-09,,Celta Vigo,Tenerife,3,0,1,0,0,Estadio de Balaídos,
2002,Liga,2001-09-09,,Betis,Espanyol,2,0,1,0,0,Manuel Ruiz de Lopera,
2002,Liga,2001-09-09,,Zaragoza,Sevilla,1,1,0,1,0,La Romareda,
2002,Liga,2001-09-15,,Mallorca,Alavés,0,0,0,1,0,Son Moix,
2002,Liga,2001-09-15,,Betis,Real Madrid,3,1,1,0,0,Manuel Ruiz de Lopera,
2002,Liga,2001-09-15,,La Coruña,Athletic Club,1,2,0,0,1,Nuevo Riazor,
2002,Liga,2001-09-15,,Osasuna,Barcelona,0,0,0,1,0,El Sadar,
2002,Liga,2001-09-16,,Málaga,Valladolid,1,2,0,0,1,La Rosaleda,
2002,Liga,2001-09-16,,Rayo Vallecano,Zaragoza,1,2,0,0,1,Teresa Rivero,
2002,Liga,2001-09-16,,Real Sociedad,Celta Vigo,0,0,0,1,0,El Sadar,
2002,Liga,2001-09-16,,Tenerife,Villarreal,2,0,1,0,0,Heliodoro Rodríguez,
2002,Liga,2001-09-16,,Espanyol,Sevilla,2,3,0,0,1,Olímpic Lluís Companys,
2002,Liga,2001-09-16,,Valencia,Las Palmas,1,0,1,0,0,Mestalla,
2002,Liga,2001-09-22,,Las Palmas,Málaga,0,0,0,1,0,Estadio Insular,
2002,Liga,2001-09-22,,Real Madrid,Espanyol,5,1,1,0,0,Santiago Bernabéu,
2002,Liga,2001-09-22,,Alavés,La Coruña,2,3,0,0,1,Mendizorroza,
2002,Liga,2001-09-22,,Villarreal,Real Sociedad,1,0,1,0,0,El Madrigal,
2002,Liga,2001-09-22,,Barcelona,Tenerife,2,0,1,0,0,Nou Camp,
2002,Liga,2001-09-23,,Valladolid,Betis,0,2,0,0,1,Nuevo Zorrilla,
2002,Liga,2001-09-23,,Zaragoza,Osasuna,0,1,0,0,1,La Romareda,
2002,Liga,2001-09-23,,Athletic Club,Valencia,2,2,0,1,0,San Mamés,
2002,Liga,2001-09-23,,Sevilla,Rayo Vallecano,2,1,1,0,0,Ramón Sánchez Pizjuán,
2002,Liga,2001-09-23,,Celta Vigo,Mallorca,2,0,1,0,0,Estadio de Balaídos,
2002,Liga,2001-09-29,,Real Madrid,Valladolid,2,2,0,1,0,Santiago Bernabéu,
2002,Liga,2001-09-29,,Real Sociedad,Barcelona,0,2,0,0,1,Anoeta,
2002,Liga,2001-09-29,,Málaga,Athletic Club,1,2,0,0,1,La Rosaleda,
2002,Liga,2001-09-29,,Espanyol,Rayo Vallecano,3,1,1,0,0,Olímpic Lluís Companys,
2002,Liga,2001-09-30,,Osasuna,Sevilla,1,0,1,0,0,El Sadar,
2002,Liga,2001-09-30,,Betis,Las Palmas,1,0,1,0,0,Manuel Ruiz de Lopera,
2002,Liga,2001-09-30,,La Coruña,Celta Vigo,2,2,0,1,0,Nuevo Riazor,
2002,Liga,2001-09-30,,Valencia,Alavés,0,0,0,1,0,Mestalla,
2002,Liga,2001-09-30,,Mallorca,Villarreal,0,1,0,0,1,Son Moix,
2002,Liga,2001-09-30,,Tenerife,Zaragoza,0,0,0,1,0,Heliodoro Rodríguez,
2002,Liga,2001-10-03,,Rayo Vallecano,Osasuna,0,1,0,0,1,Teresa Rivero,
2002,Liga,2001-10-03,,Las Palmas,Real Madrid,4,2,1,0,0,Estadio Insular,
2002,Liga,2001-10-03,,Alavés,Málaga,1,0,1,0,0,Mendizorroza,
2002,Liga,2001-10-03,,Sevilla,Tenerife,2,0,1,0,0,Ramón Sánchez Pizjuán,
2002,Liga,2001-10-03,,Barcelona,Mallorca,3,0,1,0,0,Nou Camp,
2002,Liga,2001-10-03,,Athletic Club,Betis,0,0,0,1,0,San Mamés,
2002,Liga,2001-10-03,,Villarreal,La Coruña,1,1,0,1,0,El Madrigal,
2002,Liga,2001-10-03,,Zaragoza,Real Sociedad,3,2,1,0,0,La Romareda,
2002,Liga,2001-10-03,,Valladolid,Espanyol,0,1,0,0,1,Nuevo Zorrilla,
2002,Liga,2001-10-04,,Celta Vigo,Valencia,1,1,0,1,0,Estadio de Balaídos,
2002,Liga,2001-10-06,,La Coruña,Barcelona,2,1,1,0,0,Nuevo Riazor,
2002,Liga,2001-10-06,,Real Madrid,Athletic Club,2,0,1,0,0,Santiago Bernabéu,
2002,Liga,2001-10-07,,Betis,Alavés,1,0,1,0,0,Manuel Ruiz de Lopera,
2002,Liga,2001-10-07,,Tenerife,Rayo Vallecano,3,1,1,0,0,Heliodoro Rodríguez,
2002,Liga,2001-10-07,,Real Sociedad,Sevilla,3,3,0,1,0,Anoeta,
2002,Liga,2001-10-07,,Valencia,Villarreal,1,0,1,0,0,Mestalla,
2002,Liga,2001-10-07,,Mallorca,Zaragoza,0,1,0,0,1,Son Moix,
2002,Liga,2001-10-07,,Málaga,Celta Vigo,2,2,0,1,0,La Rosaleda,
2002,Liga,2001-10-07,,Valladolid,Las Palmas,1,0,1,0,0,Nuevo Zorrilla,
2002,Liga,2001-10-07,,Espanyol,Osasuna,1,1,0,1,0,Olímpic Lluís Companys,
2002,Liga,2001-10-13,,Sevilla,Mallorca,2,2,0,1,0,Ramón Sánchez Pizjuán,
2002,Liga,2001-10-13,,Alavés,Real Madrid,0,0,0,1,0,Mendizorroza,
2002,Liga,2001-10-13,,Zaragoza,La Coruña,1,2,0,0,1,La Romareda,
2002,Liga,2001-10-14,,Athletic Club,Valladolid,1,4,0,0,1,San Mamés,
2002,Liga,2001-10-14,,Barcelona,Valencia,2,2,0,1,0,Nou Camp,
2002,Liga,2001-10-14,,Villarreal,Málaga,1,2,0,0,1,El Madrigal,
2002,Liga,2001-10-14,,Rayo Vallecano,Real Sociedad,2,1,1,0,0,Teresa Rivero,
2002,Liga,2001-10-14,,Celta Vigo,Betis,3,1,1,0,0,Estadio de Balaídos,
2002,Liga,2001-10-14,,Las Palmas,Espanyol,2,0,1,0,0,Estadio Insular,
2002,Liga,2001-10-14,,Osasuna,Tenerife,0,2,0,0,1,El Sadar,
2002,Liga,2001-10-20,,Real Sociedad,Osasuna,2,1,1,0,0,Anoeta,
2002,Liga,2001-10-20,,Málaga,Barcelona,1,1,0,1,0,La Rosaleda,
2002,Liga,2001-10-20,,Betis,Villarreal,1,1,0,1,0,Manuel Ruiz de Lopera,
2002,Liga,2001-10-20,,La Coruña,Sevilla,1,0,1,0,0,Nuevo Riazor,
2002,Liga,2001-10-20,,Las Palmas,Athletic Club,1,1,0,1,0,Estadio Insular,
2002,Liga,2001-10-21,,Valladolid,Alavés,1,3,0,0,1,Nuevo Zorrilla,
2002,Liga,2001-10-21,,Mallorca,Rayo Vallecano,3,0,1,0,0,Son Moix,
2002,Liga,2001-10-21,,Real Madrid,Celta Vigo,1,1,0,1,0,Santiago Bernabéu,
2002,Liga,2001-10-21,,Espanyol,Tenerife,2,0,1,0,0,Olímpic Lluís Companys,
2002,Liga,2001-10-21,,Valencia,Zaragoza,2,0,1,0,0,Mestalla,
2002,Liga,2001-10-27,,Villarreal,Real Madrid,2,3,0,0,1,El Madrigal,
2002,Liga,2001-10-27,,Barcelona,Betis,3,0,1,0,0,Nou Camp,
2002,Liga,2001-10-27,,Osasuna,Mallorca,4,0,1,0,0,El Sadar,
2002,Liga,2001-10-27,,Tenerife,Real Sociedad,0,1,0,0,1,Heliodoro Rodríguez,
2002,Liga,2001-10-27,,Rayo Vallecano,La Coruña,2,1,1,0,0,Teresa Rivero,
2002,Liga,2001-10-28,,Athletic Club,Espanyol,1,1,0,1,0,San Mamés,
2002,Liga,2001-10-28,,Alavés,Las Palmas,1,0,1,0,0,Mendizorroza,
2002,Liga,2001-10-28,,Celta Vigo,Valladolid,1,1,0,1,0,Estadio de Balaídos,
2002,Liga,2001-10-28,,Zaragoza,Málaga,0,2,0,0,1,La Romareda,
2002,Liga,2001-10-28,,Sevilla,Valencia,1,1,0,1,0,Ramón Sánchez Pizjuán,
2002,Liga,2001-11-03,,Athletic Club,Alavés,2,1,1,0,0,San Mamés,
2002,Liga,2001-11-04,,Valencia,Rayo Vallecano,2,1,1,0,0,Mestalla,
2002,Liga,2001-11-04,,Málaga,Sevilla,1,3,0,0,1,La Rosaleda,
2002,Liga,2001-11-04,,Valladolid,Villarreal,1,0,1,0,0,Nuevo Zorrilla,
2002,Liga,2001-11-04,,Real Madrid,Barcelona,2,0,1,0,0,Santiago Bernabéu,
2002,Liga,2001-11-04,,Espanyol,Real Sociedad,1,2,0,0,1,Olímpic Lluís Companys,
2002,Liga,2001-11-04,,Las Palmas,Celta Vigo,4,2,1,0,0,Estadio Insular,
2002,Liga,2001-11-04,,Mallorca,Tenerife,2,0,1,0,0,Son Moix,
2002,Liga,2001-11-04,,Betis,Zaragoza,0,1,0,0,1,Manuel Ruiz de Lopera,
2002,Liga,2001-11-04,,La Coruña,Osasuna,5,1,1,0,0,Nuevo Riazor,
2002,Liga,2001-11-10,,Sevilla,Betis,0,0,0,1,0,Ramón Sánchez Pizjuán,
2002,Liga,2001-11-11,,Osasuna,Valencia,0,0,0,1,0,El Sadar,
2002,Liga,2001-11-11,,Barcelona,Valladolid,4,0,1,0,0,Nou Camp,
2002,Liga,2001-11-11,,Celta Vigo,Athletic Club,2,3,0,0,1,Estadio de Balaídos,
2002,Liga,2001-11-11,,Villarreal,Las Palmas,2,0,1,0,0,El Madrigal,
2002,Liga,2001-11-11,,Real Sociedad,Mallorca,1,2,0,0,1,Anoeta,
2002,Liga,2001-11-11,,Rayo Vallecano,Málaga,3,0,1,0,0,Teresa Rivero,
2002,Liga,2001-11-11,,Alavés,Espanyol,2,1,1,0,0,Mendizorroza,
2002,Liga,2001-11-11,,Tenerife,La Coruña,3,1,1,0,0,Heliodoro Rodríguez,
2002,Liga,2001-11-11,,Zaragoza,Real Madrid,2,1,1,0,0,La Romareda,
2002,Liga,2001-11-17,,Las Palmas,Barcelona,0,0,0,1,0,Estadio Insular,
2002,Liga,2001-11-17,,Real Madrid,Sevilla,2,1,1,0,0,Santiago Bernabéu,
2002,Liga,2001-11-17,,La Coruña,Real Sociedad,3,1,1,0,0,Nuevo Riazor,
2002,Liga,2001-11-18,,Valladolid,Zaragoza,2,0,1,0,0,Nuevo Zorrilla,
2002,Liga,2001-11-18,,Alavés,Celta Vigo,1,0,1,0,0,Mendizorroza,
2002,Liga,2001-11-18,,Valencia,Tenerife,0,0,0,1,0,Mestalla,
2002,Liga,2001-11-18,,Athletic Club,Villarreal,0,0,0,1,0,San Mamés,
2002,Liga,2001-11-18,,Málaga,Osasuna,2,1,1,0,0,La Rosaleda,
2002,Liga,2001-11-18,,Betis,Rayo Vallecano,2,0,1,0,0,Manuel Ruiz de Lopera,
2002,Liga,2001-11-18,,Espanyol,Mallorca,2,1,1,0,0,Olímpic Lluís Companys,
2002,Liga,2001-11-24,,Barcelona,Athletic Club,1,2,0,0,1,Nou Camp,
2002,Liga,2001-11-25,,Osasuna,Betis,1,2,0,0,1,El Sadar,
2002,Liga,2001-11-25,,Zaragoza,Las Palmas,2,1,1,0,0,La Romareda,
2002,Liga,2001-11-25,,Tenerife,Málaga,1,0,1,0,0,Heliodoro Rodríguez,
2002,Liga,2001-11-25,,Villarreal,Alavés,1,0,1,0,0,El Madrigal,
2002,Liga,2001-11-25,,Rayo Vallecano,Real Madrid,0,3,0,0,1,Teresa Rivero,
2002,Liga,2001-11-25,,Celta Vigo,Espanyol,4,1,1,0,0,Estadio de Balaídos,
2002,Liga,2001-11-25,,Real Sociedad,Valencia,2,0,1,0,0,Anoeta,
2002,Liga,2001-11-25,,Mallorca,La Coruña,4,1,1,0,0,Son Moix,
2002,Liga,2001-11-25,,Sevilla,Valladolid,4,0,1,0,0,Ramón Sánchez Pizjuán,
2002,Liga,2001-12-01,,Valencia,Mallorca,1,1,0,1,0,Mestalla,
2002,Liga,2001-12-01,,Real Madrid,Osasuna,2,1,1,0,0,Santiago Bernabéu,
2002,Liga,2001-12-01,,Espanyol,La Coruña,1,0,1,0,0,Olímpic Lluís Companys,
2002,Liga,2001-12-01,,Alavés,Barcelona,2,0,1,0,0,Mendizorroza,
2002,Liga,2001-12-02,,Málaga,Real Sociedad,1,0,1,0,0,La Rosaleda,
2002,Liga,2001-12-02,,Athletic Club,Zaragoza,2,1,1,0,0,San Mamés,
2002,Liga,2001-12-02,,Valladolid,Rayo Vallecano,3,1,1,0,0,Nuevo Zorrilla,
2002,Liga,2001-12-02,,Celta Vigo,Villarreal,3,1,1,0,0,Estadio de Balaídos,
2002,Liga,2001-12-02,,Las Palmas,Sevilla,1,0,1,0,0,Estadio Insular,
2002,Liga,2001-12-02,,Betis,Tenerife,1,0,1,0,0,Manuel Ruiz de Lopera,
2002,Liga,2001-12-08,,Tenerife,Real Madrid,0,2,0,0,1,Heliodoro Rodríguez,
2002,Liga,2001-12-08,,Sevilla,Athletic Club,3,3,0,1,0,Ramón Sánchez Pizjuán,
2002,Liga,2001-12-09,,Zaragoza,Alavés,0,2,0,0,1,La Romareda,
2002,Liga,2001-12-09,,Villarreal,Espanyol,1,1,0,1,0,El Madrigal,
2002,Liga,2001-12-09,,Mallorca,Málaga,1,1,0,1,0,Son Moix,
2002,Liga,2001-12-09,,Rayo Vallecano,Las Palmas,0,0,0,1,0,Teresa Rivero,
2002,Liga,2001-12-09,,Osasuna,Valladolid,1,0,1,0,0,El Sadar,
2002,Liga,2001-12-09,,La Coruña,Valencia,1,0,1,0,0,Nuevo Riazor,
2002,Liga,2001-12-09,,Real Sociedad,Betis,0,0,0,1,0,Anoeta,
2002,Liga,2001-12-09,,Barcelona,Celta Vigo,2,2,0,1,0,Nou Camp,
2002,Liga,2001-12-15,,Las Palmas,Osasuna,1,1,0,1,0,Estadio Insular,
2002,Liga,2001-12-15,,Espanyol,Valencia,2,3,0,0,1,Olímpic Lluís Companys,
2002,Liga,2001-12-15,,Real Madrid,Real Sociedad,3,1,1,0,0,Santiago Bernabéu,
2002,Liga,2001-12-16,,Celta Vigo,Zaragoza,2,0,1,0,0,Estadio de Balaídos,
2002,Liga,2001-12-16,,Valladolid,Tenerife,0,0,0,1,0,Nuevo Zorrilla,
2002,Liga,2001-12-16,,Athletic Club,Rayo Vallecano,1,1,0,1,0,San Mamés,
2002,Liga,2001-12-16,,Málaga,La Coruña,1,1,0,1,0,La Rosaleda,
2002,Liga,2001-12-16,,Villarreal,Barcelona,0,1,0,0,1,El Madrigal,
2002,Liga,2001-12-16,,Betis,Mallorca,1,0,1,0,0,Manuel Ruiz de Lopera,
2002,Liga,2001-12-16,,Alavés,Sevilla,0,1,0,0,1,Mendizorroza,
2002,Liga,2001-12-22,,Espanyol,Barcelona,2,0,1,0,0,Olímpic Lluís Companys,
2002,Liga,2001-12-22,,Real Sociedad,Valladolid,6,0,1,0,0,Anoeta,
2002,Liga,2001-12-22,,Tenerife,Las Palmas,1,3,0,0,1,Heliodoro Rodríguez,
2002,Liga,2001-12-22,,Valencia,Málaga,2,1,1,0,0,Mestalla,
2002,Liga,2001-12-22,,Sevilla,Celta Vigo,0,1,0,0,1,Ramón Sánchez Pizjuán,
2002,Liga,2001-12-22,,La Coruña,Betis,2,0,1,0,0,Nuevo Riazor,
2002,Liga,2001-12-23,,Osasuna,Athletic Club,0,1,0,0,1,El Sadar,
2002,Liga,2001-12-23,,Mallorca,Real Madrid,1,1,0,1,0,Son Moix,
2002,Liga,2001-12-23,,Zaragoza,Villarreal,3,2,1,0,0,La Romareda,
2002,Liga,2002-01-05,,Villarreal,Sevilla,0,2,0,0,1,El Madrigal,
2002,Liga,2002-01-05,,Real Madrid,La Coruña,3,1,1,0,0,Santiago Bernabéu,
2002,Liga,2002-01-05,,Celta Vigo,Rayo Vallecano,2,2,0,1,0,Estadio de Balaídos,
2002,Liga,2002-01-05,,Las Palmas,Real Sociedad,0,0,0,1,0,Estadio Insular,
2002,Liga,2002-01-06,,Betis,Valencia,1,3,0,0,1,Manuel Ruiz de Lopera,
2002,Liga,2002-01-06,,Alavés,Osasuna,0,2,0,0,1,Mendizorroza,
2002,Liga,2002-01-06,,Málaga,Espanyol,2,0,1,0,0,La Rosaleda,
2002,Liga,2002-01-06,,Athletic Club,Tenerife,1,2,0,0,1,San Mamés,
2002,Liga,2002-01-06,,Barcelona,Zaragoza,2,0,1,0,0,Nou Camp,
2002,Liga,2002-01-06,,Valladolid,Mallorca,2,1,1,0,0,Nuevo Zorrilla,
2002,Liga,2002-01-12,,Athletic Club,Real Sociedad,2,1,1,0,0,San Mamés,
2002,Liga,2002-01-12,,Villarreal,Rayo Vallecano,1,1,0,1,0,El Madrigal,
2002,Liga,2002-01-13,,Celta Vigo,Osasuna,1,1,0,1,0,Estadio de Balaídos,
2002,Liga,2002-01-13,,Barcelona,Sevilla,3,1,1,0,0,Nou Camp,
2002,Liga,2002-01-13,,Zaragoza,Espanyol,0,0,0,1,0,La Romareda,
2002,Liga,2002-01-13,,Real Madrid,Valencia,1,0,1,0,0,Santiago Bernabéu,
2002,Liga,2002-01-13,,Las Palmas,Mallorca,3,1,1,0,0,Estadio Insular,
2002,Liga,2002-01-13,,Alavés,Tenerife,1,0,1,0,0,Mendizorroza,
2002,Liga,2002-01-13,,Valladolid,La Coruña,3,0,1,0,0,Nuevo Zorrilla,
2002,Liga,2002-01-13,,Betis,Málaga,1,1,0,1,0,Manuel Ruiz de Lopera,
2002,Liga,2002-01-19,,Real Sociedad,Alavés,1,2,0,0,1,Anoeta,
2002,Liga,2002-01-19,,Málaga,Real Madrid,1,1,0,1,0,La Rosaleda,
2002,Liga,2002-01-20,,Mallorca,Athletic Club,3,0,1,0,0,Son Moix,
2002,Liga,2002-01-20,,Tenerife,Celta Vigo,1,1,0,1,0,Heliodoro Rodríguez,
2002,Liga,2002-01-20,,Osasuna,Villarreal,2,2,0,1,0,El Sadar,
